off_code;url;name;ingredients_text;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;sodium_100g;vitamin-c_100g;nutrition-score-fr_100g;brand_name
0000000069601;http://world-en.openfoodfacts.org/product/0000000069601/fresh-organic-carrots-bunny-luv;Fresh Organic Carrots;Fresh organic carrots;159;0;0;8.97;6.41;2.6;1.28;0.077;0.0077;-2;Bunny-Luv
00002220;http://world-en.openfoodfacts.org/product/00002220/monterey-jack-food-club;Monterey Jack;Pasteurized milk, cheese cultures, salt and enzymes.;1494;28.57;17.86;3.57;0;0;25;0.607;0;20;Food Club
0000020039127;http://world-en.openfoodfacts.org/product/0000020039127/butter-croissants-fresh-easy;Butter Croissants;Wheat flour, butter (cream), water, yeast, sugar, salt, eggs, wheat gluten, ascorbic acid, enzymes.;1523;16.88;10.39;44.16;5.19;1.3;7.79;0.429;0.1013;18;Fresh & Easy
0000020039707;http://world-en.openfoodfacts.org/product/0000020039707/wild-blueberry-muffins-fresh-easy;Wild Blueberry Muffins;Enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, blueberries, eggs, soybean oil, water, palm oil, corn starch, leavening (sodium acid pyrophosphate, baking soda), natural flavor, s;1548;15.74;3.7;47.22;25.93;0.9;6.48;0.287;0;14;Fresh & Easy
0000020042509;http://world-en.openfoodfacts.org/product/0000020042509/bolillos-fresh-easy;Bolillos;Enriched wheat flour (wheat flour niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid) malted barley flour, water, soybean oil, wheat gluten, yeast, sugar, salt, calcium sulfate, ascorbic acid, enzymes, sorbic acid, vegetable oil, monoglyce;1159;4.26;0.53;51.06;2.13;2.1;9.57;0.5;0.016;1;Fresh & Easy
0000020043070;http://world-en.openfoodfacts.org/product/0000020043070/biscuit-fresh-easy;Biscuit;Enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour), whole milk, butter (butter fat, solids, water), cream cheese (pasteurized milk and cream, cheese culture, salt, carob bean gum), cheddar cheese;1452;20;10.67;33.33;2.67;1.3;8;0.56;0;19;Fresh & Easy
0000020043087;http://world-en.openfoodfacts.org/product/0000020043087/biscuit-fresh-easy;Biscuit;Enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour), whole milk, butter (butter fat, solids, water), cream cheese (pasteurized milk and cream, cheese culture, salt, carob bean gum), blueberries, su;1339;16;9.33;38.67;9.33;1.3;5.33;0.453;0;18;Fresh & Easy
0000020043131;http://world-en.openfoodfacts.org/product/0000020043131/sliced-plain-bagel-fresh-easy;Sliced Plain Bagel;Unbleached enriched flour (wheat flour, barley malt flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, sugar, contains 2% or less of: wheat gluten, wheat flour, salt, yeast, distilled vinegar, cultured corn syrup solids, cul;1527;1.18;0;71.76;4.71;2.4;12.94;0.471;0;2;Fresh & Easy
0000020044015;http://world-en.openfoodfacts.org/product/0000020044015/scone-fresh-easy;Scone;Enriched wheatflour (wheatflour, malted barley flour, niacin, iron, thlamin mononitrate, riboflavin, folic acid), unsalted butter, chocolate chips (sugar, chocolate liquor, cocoa butter, soy lecithin, vanilla), sour cream (cultured pasteurized milk, cream;1920;25.88;15.29;52.94;30.59;2.4;3.53;0.165;0;19;Fresh & Easy
0000020044480;http://world-en.openfoodfacts.org/product/0000020044480/belgian-vanilla-waffle-fresh-easy;Belgian Vanilla Waffle;Unbleached wheat flour, sugar, vegetable fat non hydrogenated, water, yeast, eggs, butter, soy flour, salt, vanilla.;2067;22.35;9.41;67.06;28.24;2.4;8.24;0.671;0;25;Fresh & Easy
